HBA,HBD,T(K),Density (kg/m3),rate_HBA,rate_HBD,HBA_SMILES,HBD_SMILES,Split
Acetyl choline chloride,"1,2,4-triazole",303.15,1129.3,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Train
Acetyl choline chloride,"1,2,4-triazole",313.15,1124.9,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Test
Acetyl choline chloride,"1,2,4-triazole",323.15,1119.3,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Train
Acetyl choline chloride,"1,2,4-triazole",333.15,1113.3,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Train
Acetyl choline chloride,"1,2,4-triazole",343.15,1108.1000000000001,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Train
Acetyl choline chloride,"1,2,4-triazole",353.15,1103.6999999999998,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Train
Acetyl choline chloride,"1,2,4-triazole",363.15,1100.2,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,Train
Acetyl choline chloride,D-Fructose,293.15,1266.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Test
Acetyl choline chloride,D-Fructose,298.15,1263.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,303.15,1260.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,308.15,1257.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,313.15,1254.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Test
Acetyl choline chloride,D-Fructose,318.15,1250.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Test
Acetyl choline chloride,D-Fructose,323.15,1247.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,328.15,1244.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,333.15,1240.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,338.15,1237.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,343.15,1233.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
Acetyl choline chloride,D-Fructose,348.15,1229.0,1,1,[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,Train
